cset: --> last message, executed args into cpuset "/user", new pid is: 3579655
No-rehash runnning insertion, Fmax=1, G=5:
std::unordered_multiset;boost::unordered_multiset;multi_index::hashed_non_unique
45022;1.55575;0.854815;1.15074
47258;1.56738;0.856755;1.15191
49605;1.56839;0.859239;1.16176
52069;1.56964;0.849404;1.15567
54656;1.58028;0.85853;1.16817
57372;1.5885;0.862339;1.17413
60223;1.59433;0.865364;1.17216
63216;1.60941;1.01485;1.27377
66358;1.75239;1.00438;1.27572
69657;1.74773;0.99494;1.27399
73120;1.74666;0.989759;1.27918
76756;1.74364;0.97915;1.28188
80573;1.74454;0.97814;1.28341
84580;1.74418;0.977157;1.28573
88787;1.74385;0.975378;1.28411
93204;1.74274;0.97185;1.28745
97841;1.74828;0.978475;1.29344
102709;1.74891;0.972323;1.29378
107820;1.75284;0.975581;1.3048
113186;1.75787;0.982268;1.3024
118820;1.76158;0.984391;1.30752
124735;1.76527;1.13458;1.41032
130945;1.92124;1.12911;1.40681
137465;1.91659;1.11753;1.40976
144311;1.9088;1.11036;1.40744
151499;1.90179;1.10177;1.41254
159046;1.9007;1.09776;1.41583
166970;1.89001;1.09375;1.41187
175290;1.88871;1.08142;1.40174
184026;1.88821;1.08353;1.41009
193198;1.88599;1.07834;1.40453
202828;1.88171;1.074;1.40753
212939;1.88327;1.07787;1.41199
223555;1.88346;1.0729;1.40526
234701;1.88705;1.07669;1.40711
246404;1.88755;1.24322;1.52208
258692;2.06763;1.23078;1.51892
271594;2.0598;1.21847;1.5192
285141;2.05644;1.20462;1.51352
299365;2.05236;1.19279;1.51871
314300;2.0536;1.18886;1.52051
329981;2.05537;1.18544;1.51809
346446;2.06122;1.18183;1.52373
363734;2.07258;1.17286;1.53342
381886;2.08412;1.17486;1.53632
400945;2.10408;1.18062;1.54391
420956;2.1268;1.18265;1.56401
441967;2.15658;1.19235;1.56948
464028;2.19165;1.20225;1.59252
487192;2.23335;1.21221;1.60524
511514;2.28245;1.59297;1.87346
537052;2.7495;1.58395;1.89728
563866;2.79367;1.57561;1.92167
592020;2.85038;1.57226;1.97294
621581;2.90965;1.56947;2.01818
652620;2.97973;1.58473;2.05195
685210;3.05989;1.6007;2.0917
719429;3.14302;1.61031;2.15951
755358;3.24806;1.63567;2.21325
793083;3.34536;1.66904;2.27015
832694;3.45742;1.69889;2.33755
874285;3.58049;1.72953;2.41919
917955;3.70015;1.7757;2.4868
963808;3.82992;1.82925;2.57756
1011953;3.97272;2.67589;3.16112
1062505;4.95298;2.66565;3.23593
1115584;5.03582;2.64872;3.21456
1171316;5.13126;2.62858;3.38639
1229834;5.23223;2.64625;3.44257
1291277;5.32632;2.65192;3.47799
1355792;5.4236;2.66525;3.60588
1423532;5.51476;2.68372;3.68635
1494659;5.59841;2.70615;3.75621
1569342;5.71708;2.7283;3.77327
1647759;5.81385;2.77254;3.90978
1730096;5.92277;2.83384;3.99146
1816549;6.03143;2.86962;4.02757
1907324;6.14501;2.92798;4.14719
2002637;6.26909;3.94861;4.86745
2102715;7.39892;3.90759;4.8716
2207796;7.4294;3.87734;4.9908
2318131;7.48211;3.85147;4.97414
2433982;7.52899;3.82656;5.05537
2555625;7.58227;3.82157;5.15469
2683350;7.65048;3.82327;5.18818
2817461;7.71369;3.81883;5.22844
2958277;7.79369;3.82143;5.27309
